15.0,2.0,1.0,6.0,0.0,2.0,1.0,1.0
15.0,2.0,1.0,9.0,1.0,2.0,1.0,1.0
15.0,2.0,1.0,6.0,2.0,2.0,1.0,2.0
15.0,2.0,1.0,6.0,3.0,2.0,1.0,2.0
15.0,8.0,4.0,6.0,4.0,8.0,4.0,4.0
15.0,6.0,5.0,6.0,1.0,2.0,1.0,6.0
15.0,6.0,6.0,6.0,2.0,2.0,4.0,6.0
15.0,6.0,7.0,6.0,3.0,2.0,4.0,6.0
15.0,8.0,4.0,9.0,8.0,8.0,4.0,8.0
15.0,9.0,9.0,9.0,8.0,8.0,1.0,9.0
15.0,10.0,6.0,6.0,2.0,2.0,4.0,6.0
15.0,11.0,7.0,9.0,3.0,8.0,1.0,9.0
15.0,8.0,4.0,9.0,12.0,8.0,4.0,8.0
15.0,9.0,13.0,9.0,12.0,8.0,1.0,9.0
15.0,14.0,13.0,6.0,12.0,2.0,4.0,6.0
15.0,11.0,7.0,6.0,3.0,2.0,1.0,6.0
